raw,mpu
13,1.69
-7,1.9
-28,1.71
-11,1.58
8,1.58
9,2.08
8,1.61
2,1.86
-7,1.54
-7,1.6
0,1.64
1,1.2
3,1.35
6,1.53
0,1.7
-6,1.69
-3,1.41
0,1.13
0,1.48
2,1.6
4,1.7
0,1.72
-4,1.71
-4,1.91
1,1.49
5,1.44
2,1.8
-1,1.43
-2,2.06
-1,1.39
-1,1.85
0,1.55
0,1.56
0,1.6
1,1.82
1,1.75
-1,1.79
-1,1.87
0,1.55
0,1.2
0,1.65
2,1.69
2,1.34
0,1.62
-2,1.59
-1,1.63
0,1.7
1,1.65
0,1.55
0,1.84
0,1.43
0,1.43
-2,1.47
-2,1.09
1,1.41
4,1.53
3,1.56
-2,1.48
-6,1.46
-1,1.53
4,1.39
3,1.8
-1,1.54
-2,1.55
0,1.7
2,1.44
0,1.32
-4,1.75
-2,1.64
2,1.82
4,1.71
1,1.54
-2,1.8
-4,1.5
-1,1.64
4,1.81
4,1.99
-1,1.92
-5,1.5
-3,1.68
3,2.02
6,1.35
0,1.83
-3,2.06
-3,1.75
0,1.76
1,1.7
3,1.52
1,1.85
-3,1.58
-2,1.47
2,1.74
1,1.8
-1,1.68
-1,1.76
0,1.72
0,1.64
1,1.51
1,1.67
0,1.66
-2,1.45
-1,1.83
0,1.79
2,1.88
4,1.72
0,2.01
-5,1.68
-2,1.83
3,1.78
3,1.61
-2,1.78
-3,1.73
0,1.62
2,1.97
5,1.75
0,1.9
-7,1.56
-5,1.8
4,1.92
7,1.74
2,2.13
-3,1.82
-5,1.72
-4,1.53
2,1.92
6,1.81
3,1.62
-3,1.73
-3,1.56
0,1.66
0,1.79
0,1.62
0,1.68
1,1.49
1,1.82
0,1.84
-2,1.38
-2,1.47
2,1.62
3,1.4
-1,1.62
-2,1.49
0,1.82
1,1.66
1,1.58
1,1.7
-1,1.62
-2,1.49
0,1.88
0,1.47
0,1.61
2,1.88
0,1.48
-2,1.59
0,1.55
3,1.53
-1,1.34
-5,1.65
0,1.24
7,1.33
4,1.33
-5,1.36
-5,1.36
1,1.45
2,1.69
1,1.35
1,1.53
-1,1.41
-2,1.62
0,1.97
0,1.57
-3,1.68
1,1.4
7,1.53
0,1.3
-8,1.55
-2,1.57
6,1.3
4,1.42
-1,1.73
-4,1.82
-3,1.48
2,1.9
5,1.61
0,1.78
-3,1.77
0,1.8
1,1.86
0,1.52
-1,1.67
0,1.73
1,1.32
0,1.59
0,1.7
1,1.36
-1,1.37
-2,1.22
1,1.54
2,1.79
0,1.49
-2,1.51
-2,1.06
0,1.1
4,1.49
2,1.56
-2,1.36
-2,1.38
0,1.43
-3,1.5
-2,1.72
6,1.27
7,1.49
-3,1.54
-8,1.41
0,1.56
3,1.53
0,1.76
1,1.46
1,1.73
-1,1.73
-1,1.71
1,1.55
1,1.31
-1,1.37
-2,1.33
0,1.3
1,1.28
0,1.34
0,1.41
0,1.34
-1,1.2
0,1.21
0,1.21
-1,1.05
0,1.29
2,1.12
1,1.37
0,1.34
-1,1.32
-2,1.36
0,1.43
3,1.16
0,1.17
-4,1.21
-1,1.49
5,1.48
4,1.51
-4,1.59
-6,1.66
0,1.58
4,1.54
1,1.67
0,1.25
1,1.43
2,1.81
-4,1.39
-5,1.83
0,1.42
2,1.5
4,1.47
5,1.9
-1,1.86
-9,1.65
-3,1.97
6,1.62
5,1.48
-2,1.4
-2,1.79
1,1.62
1,1.71
-1,1.61
-2,1.61
0,1.93
3,1.86
1,1.79
-2,1.51
-3,1.4
0,1.58
3,2.09
1,1.7
0,1.75
-2,1.99
-2,1.63
0,1.52
2,1.63
2,1.69
-1,1.66
-1,1.56
0,1.64
0,1.7
0,1.74
0,1.83
0,1.85
-2,1.74
-1,1.73
1,1.45
1,1.55
0,1.98
0,1.61
2,1.66
0,1.71
-2,1.82
-4,1.47
0,1.82
6,1.47
4,1.86
-3,1.53
-2,1.75
0,1.77
-1,1.56
0,1.79
5,1.75
2,1.85
-5,2.02
-4,2.34
-1,1.88
0,1.95
5,1.98
7,2.05
-1,2.27
-9,1.94
-4,2.01
4,1.76
3,1.7
0,2.1
0,1.91
0,2
-2,1.92
0,1.86
1,1.65
-1,1.4
-1,1.64
3,1.78
3,1.94
-3,1.47
-4,1.48
1,1.59
3,1.41
0,1.87
-2,1.87
0,1.55
0,1.71
-1,1.62
0,1.84
2,1.86
1,1.7
-1,1.46
-3,1.65
0,1.64
2,1.57
1,1.7
-1,1.85
0,1.36
1,1.48
0,1.28
0,1.81
0,1.31
0,1.56
0,1.21
0,1.64
0,1.44
0,1.59
0,1.85
-1,1.58
-1,1.24
0,1.36
0,1.92
0,1.49
2,1.51
3,1.51
0,1.57
-4,1.61
-2,1.69
0,1.55
1,1.56
1,1.61
3,1.78
2,1.89
-3,1.81
-6,2.02
-1,1.77
2,1.94
3,2.18
4,1.86
1,1.89
-5,1.74
-6,1.92
0,1.71
3,1.88
4,2.16
4,1.6
0,1.98
-6,1.6
-7,1.97
0,2.12
9,1.62
7,1.81
-2,1.93
-9,1.88
-5,1.89
4,1.77
6,1.79
1,1.65
-2,2.09
-2,2.3
-1,1.9
0,1.87
3,1.74
0,1.57
-3,1.72
-1,1.28
1,1.28
1,1.4
0,1.48
-1,1.45
-1,1.19
1,1.54
3,1.36
0,1.67
-4,1.5
-3,1.53
0,1.53
5,1.29
6,1.07
-3,0.96
-10,1.34
-1,1.33
6,1.18
4,1.35
0,1.32
-1,1.47
-5,1.07
-3,1.23
4,1.53
6,1.65
0,1.52
-3,1.48
-3,1.4
0,1.22
2,1.43
0,1.37
0,1.25
1,1.53
1,1.43
-2,1.44
0,1.52
2,1.4
-1,1.68
-3,1.34
2,1.54
3,1.35
-1,1.5
-2,1.38
0,1.12
0,1.32
0,1.49
0,1.22
1,1.37
1,1.49
-1,1.39
-2,1.48
0,1.14
2,1.65
2,1.39
0,1.35
-2,1.57
-3,1.63
1,1.35
4,1.4
0,1.59
-5,1.67
-2,1.68
4,1.21
5,1.35
0,1.37
-4,1.82
-3,1.34
0,1.47
2,1.62
3,1.39
1,1.35
-3,1.72
-2,1.46
3,1.42
1,1.59
-6,1.55
-3,1.55
6,1.27
4,1.64
-2,1.46
-2,1.15
0,1.3
0,1.37
-1,1.54
0,1.37
0,1.18
3,1.45
2,1.42
-2,1.62
-4,1.26
1,1.55
1,0.95
-3,1.3
0,1.2
5,1.28
1,1.31
-4,1.14
-1,1.09
2,1.32
1,1.14
-2,1.38
-1,1.47
2,1.4
3,1.36
-1,1.08
-3,1.46
0,1.24
1,1.39
-1,1.42
0,1.33
2,1.49
-1,1.65
-3,1.05
0,1.26
3,1.5
0,1.39
0,1.46
0,1.55
0,1.78
-3,1.22
-2,1.18
0,1.35
4,1.6
8,1.53
0,1.86
-12,1.71
-9,1.59
5,1.48
10,1.57
4,1
-3,1.52
-5,1.42
-3,1.48
0,1.62
3,1.28
2,1.62
0,1.56
0,1.3
0,1.36
-3,1.42
-3,1.56
3,1.68
5,1.55
0,1.22
-3,1.47
-1,1.44
0,1.41
2,1.31
2,1.8
0,1.58
-4,1.45
-3,1.53
3,1.24
8,1.82
0,1.48
-9,1.47
-3,1.31
4,1.4
1,1.53
2,1.41
4,1.24
-3,1.31
-8,1.37
0,1.52
6,1.41
2,1.47
-1,1.38
-3,1.61
-1,1.34
3,1.31
5,1.51
-2,1.54
-7,1.38
-2,1.69
3,1.53
1,1.51
3,1.59
5,1.69
-2,1.69
-9,1.48
-3,1.43
5,1.55
4,1.55
1,1.65
0,1.79
-1,1.93
-1,1.77
0,1.78
0,1.73
1,1.75
2,1.59
0,1.8
-1,1.92
0,2.12
0,1.6
0,1.63
0,1.78
-2,1.61
0,1.57
3,1.61
1,1.54
-3,1.51
-2,1.38
1,1.42
1,1.46
0,1.56
1,1.63
2,1.59
-2,1.69
-5,1.88
0,1.75
5,1.52
3,1.7
-1,1.53
-1,1.75
-1,1.55
-2,1.77
0,1.62
3,1.7
2,1.5
0,1.54
0,1.64
-2,1.82
-4,1.76
0,1.33
4,1.54
1,1.39
-1,1.5
-1,1.57
-1,1.4
1,1.55
3,1.6
-2,1.51
-6,1.35
0,1.4
8,1.27
2,1.47
-5,1.11
-2,1.54
2,1.83
0,1.57
0,1.51
0,1.6
-1,1.76
0,1.59
4,1.29
1,1.54
-4,1.7
-3,1.75
1,1.42
3,1.79
0,1.44
-2,1.61
-2,1.45
2,1.62
4,1.62
0,1.65
-4,1.52
-3,1.65
0,1.22
-1,1.38
1,1.26
7,1.58
2,1.29
-7,1.65
-5,1.55
0,1.63
1,1.42
3,1.66
5,1.47
-1,1.31
-7,1.64
-2,1.55
3,1.43
1,1.66
0,1.52
4,1.32
1,1.19
-6,1.17
-5,1.57
1,1.35
3,1.5
2,1.51
2,1.67
0,1.5
-6,1.53
-4,1.62
3,1.56
6,1.73
2,1.54
-2,1.45
-4,1.52
-2,1.18
2,1.38
3,1.41
0,1.85
0,1.59
1,1.35
-1,1.29
-3,1.84
-1,1.23
2,0.98
2,1.09
3,1.63
2,1.42
-3,1.14
-7,1.72
-3,1.44
5,1.35
8,1.65
1,1.69
-5,1.55
-4,1.53
1,1.19
3,1.45
0,1.46
-3,1.3
0,1.45
4,1.41
0,1.35
-4,1.06
0,1.38
4,1.28
2,1.47
-3,1.33
-5,1.18
-1,1.06
6,1.11
5,1.33
-3,1.42
-7,1.08
0,1.36
5,1.15
1,1.29
-1,1.47
0,1.59
0,1.34
0,1.57
0,1.2
-1,1.7
0,1.27
4,1.43
0,1.69
-4,1.76
0,1.44
3,1.21
0,1.5
0,1.29
0,1.34
-3,1.36
0,1.41
7,1.45
0,1.07
-7,1.36
