raw,mpu
3,1.34
2,0.94
-4,1.16
-10,1.31
-3,0.91
5,1.17
5,0.66
2,1.13
0,1.19
-3,0.98
-4,0.77
-1,1.29
2,0.97
5,1.13
3,1.35
-4,1.18
-6,1.37
0,1.38
5,1.13
1,1.49
-2,1.2
0,1.58
1,1.41
0,1.2
0,1.35
1,1.53
0,1.34
-2,1.22
0,1.18
2,0.9
0,1.18
-1,1.36
0,0.88
0,1.21
-3,0.96
0,0.88
4,0.62
2,0.99
-2,0.73
-2,0.92
0,0.96
0,1.04
1,1
2,1.11
-1,1.01
-3,1.09
0,0.96
3,0.79
2,1.05
0,1.44
-4,1.07
-4,1.02
2,0.95
5,1
0,1.2
-2,1.24
0,1.2
0,1.09
-2,0.89
2,1.06
6,1.37
0,1.11
-7,1.04
-4,1.64
3,1.13
5,1.29
1,1.58
-1,1.1
-2,1.28
-2,1.26
0,0.93
2,1.23
3,1.3
0,1.25
-2,1.33
-1,0.98
0,1.5
0,1.04
0,1.29
3,0.77
0,1.26
-5,0.97
-2,0.97
3,0.92
2,0.66
-2,1.07
0,0.92
2,1.06
0,0.87
-1,1
1,0.8
0,1.01
-1,1.01
0,1.07
2,1.2
0,1.12
-2,1.04
0,1.26
2,0.91
0,0.93
-3,1.14
-1,1.16
3,1.12
2,1.09
-2,1.57
-3,1.08
0,1.35
1,1.1
3,1.12
1,1.05
-2,0.99
-3,1.09
0,1.01
1,0.92
1,1.35
1,0.87
0,1.32
-2,1.24
-2,0.86
0,1.25
0,1.24
0,1.24
1,0.97
2,1.57
-1,1.39
-4,1.15
-1,1.18
2,0.98
2,0.9
0,1.25
-1,1.3
-2,1.37
0,1.08
2,0.99
0,0.88
-2,0.91
0,0.9
3,0.9
1,0.73
-1,0.95
-2,1.07
-1,1
0,0.73
2,1.01
0,0.81
-1,1.14
-1,0.91
0,1.13
0,0.65
0,1.07
0,0.94
1,1.31
0,1.37
0,1.33
0,1.46
0,1.08
0,1.28
0,1.53
-1,1.21
0,1.27
1,0.98
0,1.05
0,1.2
0,1.15
0,0.89
0,1.31
1,0.78
1,1.07
0,1.25
-1,0.89
0,1.14
0,0.63
-1,1
0,0.68
2,1.07
0,0.84
-1,0.74
0,1.02
0,0.89
0,1.34
1,0.58
1,0.84
-1,1.2
-2,1.13
1,1.07
2,0.87
0,1.12
-2,1.05
0,1.02
0,1.37
0,1.45
2,0.67
2,1.01
-4,0.82
-3,1.17
2,0.88
2,1.06
0,1
0,0.95
0,1.03
0,1.16
-1,1.08
-1,1.24
1,0.85
4,1.02
1,0.9
-4,1.25
-4,1.52
1,1.26
3,1.23
1,1.19
1,1.27
0,1.42
-4,1.14
-2,1.18
3,1.18
3,1.32
0,1.05
-1,1.34
-1,0.84
-2,1.07
0,1.09
3,1.3
2,0.93
-1,1.18
-3,1.34
0,1.15
0,0.86
0,0.93
1,1.17
2,1.45
0,1.18
-4,1.07
-2,1.35
2,1.32
3,1.11
0,1.39
