raw,mpu
35,1.61
41,1.47
14,1.58
18,1.57
-5,1.52
-39,1.71
-18,1.7
15,1.79
19,2.02
11,1.42
0,1.64
-16,1.81
-12,1.82
7,1.71
8,1.78
-2,1.66
0,1.81
4,1.47
0,1.71
-5,2
-2,1.19
2,1.55
1,1.77
0,1.64
2,1.62
0,1.65
-4,1.58
-2,1.72
3,1.47
3,1.58
0,1.39
-2,1.53
0,1.5
2,1.43
2,1.7
-4,1.56
-7,1.63
3,1.37
9,1.79
1,1.42
-5,1.55
-3,1.82
-3,1.51
0,1.48
7,1.51
9,1.52
0,1.71
-10,1.18
-9,1.26
0,1.44
10,1.62
12,1.6
1,1.59
-11,1.54
-12,1.47
0,1.14
8,1.39
7,1.64
4,1.58
-1,1.4
-11,1.23
-8,1.43
6,1.39
11,1.48
0,1.42
-6,1.82
-1,1.62
0,1.39
0,1.24
1,1.2
1,1.37
0,1.02
0,1.02
0,1.13
0,1.14
-1,1.3
-2,1
0,1.09
7,1.25
7,1.32
-6,1.16
-15,1.15
1,1.23
16,1.13
4,1.35
-10,0.95
-6,1.3
3,1.26
4,1.13
1,1.04
0,1.23
-4,1.13
-8,1.12
1,0.89
13,1.36
5,0.73
-9,1.06
-11,1.24
-3,0.91
6,0.69
11,1.14
4,0.89
-7,1.06
-8,0.87
-1,1.13
3,0.95
5,0.96
3,0.77
-2,1.18
-2,1.19
0,0.83
-1,1.34
-2,1.28
3,1.18
6,1.37
0,1.18
-6,1.17
-2,1.12
1,1.15
0,1.34
2,0.97
5,1.06
-2,1.21
-7,1.29
-1,1.06
3,0.62
2,1.12
3,1.25
3,1.01
-5,1.08
-9,1.03
0,1
6,0.8
2,0.9
2,0.85
9,0.57
-2,0.71
-23,0.86
-12,0.81
18,0.77
22,0.91
3,0.67
-12,0.64
-17,0.64
-4,0.79
13,0.58
9,1.03
-5,1.04
-4,0.99
3,0.88
0,1.13
-4,0.74
1,0.97
4,1.2
-1,1.1
-4,0.83
0,1.26
3,0.9
0,0.96
0,0.73
0,1.2
-1,1.11
-3,1.36
0,1.3
6,1.06
3,1.13
-4,1.29
-7,1.82
-1,1.5
6,1.13
7,1.33
0,1.26
-7,1.31
-6,1.39
-1,1.23
3,1.26
9,1.11
11,1.12
-4,0.91
-23,1.16
-12,0.97
17,0.76
22,1.48
0,1.43
-14,0.81
-7,1.11
-1,1.09
1,1.22
6,1.22
9,1.21
2,1.12
-10,0.97
-15,0.98
0,1.27
19,0.96
13,1.1
-10,1.12
-17,1.05
-4,1.11
9,1.04
13,1.04
2,0.9
-11,1.31
-9,1.22
4,0.73
8,0.81
2,1.01
-3,0.81
-5,1.03
-2,1.13
3,0.91
5,0.91
0,0.93
-3,0.6
-2,0.89
0,0.97
2,0.7
3,0.83
-1,0.99
-5,0.83
0,0.87
4,1.15
2,1.13
1,0.63
0,1.05
-5,1.03
-4,1.02
6,0.84
4,0.83
-8,0.82
-3,0.5
12,0.54
5,0.89
-13,0.99
-10,0.84
7,0.68
9,0.96
1,0.79
-1,0.83
-4,0.78
-5,0.8
3,0.78
6,1.13
-2,1.41
-3,1.06
1,1.32
2,0.98
0,0.83
0,0.91
-3,0.91
-7,0.7
1,0.89
8,0.87
3,0.69
0,1
-2,0.72
-7,0.58
-4,0.74
4,0.74
6,0.66
3,0.99
0,0.79
-6,1.21
-9,1.15
3,1.08
11,0.42
-1,0.75
-8,0.52
4,0.34
5,0.48
-9,0.62
-2,0.53
14,-0.11
-1,-0.02
-17,0.05
6,-0.24
19,-0.08
-5,0
-18,-0.12
-1,0.1
8,-0.23
7,0.06
7,-0.17
-5,-0.1
-18,0.14
-3,0.07
16,0.17
9,0.06
-4,-0.11
-6,-0.22
-3,0.1
-1,0.1
4,0.3
4,0.45
-2,0.26
-3,-0.12
1,-0.05
3,-0.05
-1,-0.25
-4,0
0,-0.66
4,-0.89
3,-0.82
0,-0.9
-2,-1
-2,-1.2
0,-1.48
2,-1.27
0,-1.02
-1,-1.05
1,-0.91
0,-1.25
-2,-1.51
0,-1.59
1,-1.34
0,-1.39
-1,-1.32
0,-1.16
1,-1.36
0,-1.3
0,-1.19
0,-1.39
-4,-1.38
0,-1.53
8,-1.91
2,-1.85
-7,-1.75
-5,-1.46
1,-1.79
6,-1.59
5,-2.11
-3,-1.69
-9,-1.68
-1,-1.83
9,-1.39
7,-1.65
-4,-1.56
-11,-1.49
-4,-1.72
6,-1.7
9,-1.24
1,-1.41
-6,-1.32
-4,-1.37
0,-1.63
0,-1.58
0,-1.8
2,-1.89
3,-1.11
0,-1.35
-2,-1.37
-2,-1.91
-2,-1.42
1,-1.56
6,-1.66
2,-1.66
-5,-1.2
-6,-1.78
1,-2
8,-2.13
5,-2.5
-8,-2.24
-9,-2.17
3,-2.21
8,-2.06
1,-1.85
-3,-1.92
-4,-2.09
0,-1.77
7,-1.36
0,-1.71
-14,-1.64
-4,-1.37
14,-1.99
6,-2.16
-7,-2.16
0,-2.14
3,-2.36
-8,-2.01
-6,-2.22
7,-2.36
7,-1.94
0,-2.45
-3,-2.14
-2,-2.35
0,-2.47
1,-2.23
0,-2.14
-1,-2.2
1,-2.22
1,-2.23
0,-2.34
0,-2.36
0,-2.12
0,-2.56
0,-2.31
-2,-2.48
-1,-2.36
2,-2.71
5,-2.57
0,-2.54
-6,-2.53
-3,-2.66
3,-2.68
2,-2.52
-2,-2.87
0,-2.18
5,-2.57
0,-2.67
-8,-2.45
-3,-2.96
7,-2.73
6,-2.8
-1,-2.56
-2,-2.7
-1,-2.47
-5,-2.79
-2,-2.65
10,-3.04
9,-3.05
-7,-2.61
-11,-2.97
2,-3.06
8,-3.06
0,-3.02
-4,-3.13
0,-3.2
3,-3.08
-1,-2.99
-3,-3.37
1,-3.01
4,-3.06
-1,-3.31
-4,-3.18
0,-3.6
2,-3.45
2,-3.66
2,-3.57
-2,-3.7
-7,-3.65
0,-3.84
8,-4.04
4,-3.7
-6,-3.93
-6,-3.76
2,-4.09
8,-3.99
0,-3.94
-8,-4.32
-2,-4.28
8,-4.29
3,-4.4
-8,-4.2
-5,-4.47
6,-4.59
7,-4.44
-3,-4.53
-9,-4.64
-2,-4.56
10,-4.32
8,-4.46
-9,-4.6
-11,-4.55
3,-4.38
9,-4.87
2,-4.49
0,-4.99
-4,-4.78
-8,-4.79
0,-4.82
12,-5.38
6,-5.42
-8,-5.11
-7,-5.26
0,-4.96
3,-4.89
4,-5.22
4,-5.29
-2,-5.45
-7,-5.25
-1,-5.06
5,-5.42
3,-5.69
0,-5.23
-2,-5.27
-4,-5.3
-1,-5.59
4,-5.41
3,-5.73
-1,-5.62
-1,-5.4
-1,-5.76
-3,-5.4
0,-5.7
10,-5.68
7,-5.86
-11,-5.76
-14,-5.82
3,-6.06
15,-5.92
5,-5.62
-7,-6.13
-6,-5.83
2,-5.96
1,-5.79
-5,-6.17
-1,-6
10,-5.79
7,-5.69
-10,-5.48
-13,-5.92
4,-5.25
12,-5.73
0,-5.65
-8,-6.37
1,-5.47
6,-6.25
-1,-6.05
-7,-6.05
-3,-5.82
6,-5.9
9,-5.94
-2,-6.17
-9,-6.14
-1,-6.19
2,-6.47
-1,-6.25
2,-6.22
9,-6.04
0,-6.26
-11,-6.17
-4,-6.05
5,-6.23
2,-5.99
0,-5.88
4,-6.16
2,-5.85
-6,-6.38
-7,-6.32
0,-6.24
5,-6.25
7,-6.46
2,-6.71
-7,-6.77
-6,-6.76
2,-6.49
4,-7.43
1,-7.24
0,-6.67
-1,-6.79
-3,-6.42
0,-6.68
5,-6.63
2,-6.46
-4,-6.21
-3,-6.45
1,-6.28
1,-6.52
0,-6.42
2,-6.46
2,-6.87
-3,-6.81
-4,-6.79
1,-7.18
1,-7.17
0,-7.49
3,-6.99
2,-6.8
-6,-7.24
-4,-6.95
4,-7.08
1,-6.8
-5,-6.99
0,-6.87
6,-7.01
-1,-7.01
-3,-6.79
2,-6.9
0,-7.18
-4,-6.64
-1,-7.13
4,-7.25
4,-7.55
0,-7.3
-4,-7.31
-2,-7.48
2,-7.25
2,-7.49
0,-7.37
0,-7.44
-3,-7.56
-2,-7.57
6,-7.42
6,-7.56
-7,-7.73
-11,-7.89
3,-7.46
14,-7.86
5,-7.86
-9,-7.79
-11,-8.02
-1,-7.61
9,-8
9,-7.8
-1,-8.19
-9,-8.17
-5,-8.06
1,-8.16
5,-8.29
7,-7.87
2,-8.29
-10,-7.95
-9,-7.95
6,-8.11
8,-7.97
0,-8.22
0,-8.6
0,-8.14
-9,-8.1
-3,-7.96
9,-8.17
6,-8.02
-4,-8.55
-5,-8.39
0,-8.33
3,-8.24
0,-8.3
-4,-8.43
-1,-8.68
6,-8.72
4,-8.51
-4,-9.12
-6,-8.86
0,-8.72
4,-9.03
1,-8.9
1,-8.85
2,-8.97
-2,-8.79
-9,-8.91
-4,-9
9,-8.78
11,-8.94
-2,-9.13
-12,-9.35
-4,-9.06
7,-9.07
6,-9.19
-1,-9.66
-4,-9.01
-4,-8.81
0,-9.52
5,-9.46
7,-9.32
-1,-9.54
-9,-9.33
-5,-9.37
4,-9.51
7,-9.65
3,-9.74
-4,-9.94
-6,-10
1,-9.6
5,-9.59
-2,-9.75
